,V,Rm,Rb
"1980-1",1.1901048607175344,0.02725,0.047774999999999998
"1980-2",1.18817270202456,0.030249999999999999,0.049175000000000003
"1980-3",1.1352665100451951,0.030249999999999999,0.048075
"1980-4",1.128879359355726,0.026749999999999999,0.045749999999999999
"1981-1",1.1041433877197342,0.026249999999999999,0.046124999999999999
"1981-2",1.1278550635609168,0.02725,0.048224999999999997
"1981-3",1.0877682542560718,0.02775,0.050799999999999998
"1981-4",1.1459928279934735,0.02725,0.048075
"1982-1",1.1456665595984949,0.026749999999999999,0.050825000000000002
"1982-2",1.1722634691283798,0.02775,0.052699999999999997
"1982-3",1.2018557708346398,0.02775,0.052225000000000001
"1982-4",1.1679119129943274,0.0275,0.049274999999999999
"1983-1",1.0971712472974398,0.026499999999999999,0.040274999999999998
"1983-2",1.0806352159125501,0.021749999999999999,0.034575000000000002
"1983-3",1.0589441671072866,0.020750000000000001,0.035424999999999998
"1983-4",1.0379723389772373,0.021250000000000002,0.033450000000000001
"1984-1",1.0207755996929579,0.021250000000000002,0.033524999999999999
"1984-2",1.008151574176436,0.020750000000000001,0.035424999999999998
"1984-3",1.0043970809609881,0.021250000000000002,0.036200000000000003
"1984-4",0.95244715290017101,0.0229,0.035299999999999998
"1985-1",0.95677041746541125,0.022575000000000001,0.032925000000000003
"1985-2",0.92549671074119821,0.021899999999999999,0.029899999999999999
"1985-3",0.92354142265617956,0.02,0.026749999999999999
"1985-4",0.8882034654861366,0.0189,0.025925
"1986-1",0.8561520043740396,0.018100000000000002,0.024424999999999999
"1986-2",0.87640595773605146,0.016875000000000001,0.0246
"1986-3",0.88001386669876958,0.016975000000000001,0.027875
"1986-4",0.83383970350146086,0.018849999999999999,0.028575
"1987-1",0.81517726804368351,0.019175000000000001,0.029825000000000001
"1987-2",0.82753171691803473,0.019075000000000002,0.029325
"1987-3",0.84958837869871928,0.018800000000000001,0.029749999999999999
"1987-4",0.84452893818762487,0.01915,0.030249999999999999
"1988-1",0.83141725166906344,0.018175,0.027400000000000001
"1988-2",0.82235082661953296,0.017899999999999999,0.027400000000000001
"1988-3",0.80658447578713766,0.017125000000000001,0.025749999999999999
"1988-4",0.81912273479465103,0.017000000000000001,0.024750000000000001
"1989-1",0.8225797246429476,0.016324999999999999,0.024975000000000001
"1989-2",0.84241211416476602,0.016725,0.025375000000000002
"1989-3",0.85286941708341324,0.017600000000000001,0.025125000000000001
"1989-4",0.85465797630310814,0.021000000000000001,0.026950000000000002
"1990-1",0.8108101860393031,0.022124999999999999,0.028074999999999999
"1990-2",0.83487416435983519,0.0207,0.026950000000000002
"1990-3",0.81817612644110227,0.02,0.027175000000000001
"1990-4",0.81743067287268723,0.0195,0.027449999999999999
"1991-1",0.82704792307724517,0.01925,0.025950000000000001
"1991-2",0.84685577804094958,0.017999999999999999,0.025125000000000001
"1991-3",0.848524241207671,0.017000000000000001,0.025225000000000001
"1991-4",0.87395821192417511,0.017250000000000001,0.024799999999999999
"1992-1",0.83824709410351073,0.017999999999999999,0.024575
"1992-2",0.81807690731600413,0.017999999999999999,0.024924999999999999
"1992-3",0.84341889231465572,0.018749999999999999,0.0263
"1992-4",0.87486041910123369,0.020250000000000001,0.025375000000000002
"1993-1",0.82331427542678792,0.020250000000000001,0.024850000000000001
"1993-2",0.7579038923766408,0.016250000000000001,0.022100000000000002
"1993-3",0.74777133195496059,0.01575,0.021299999999999999
"1993-4",0.71023797174987369,0.012999999999999999,0.019924999999999998
"1994-1",0.75235324919312774,0.0092499999999999995,0.018950000000000002
"1994-2",0.77361464342770692,0.0085000000000000006,0.020275000000000001
"1994-3",0.80359355336547988,0.0085000000000000006,0.022124999999999999
