YrM,ff,infl,inflex,caputil,capgap,unr,unrgap,bond
"1983-1",8.6799999999999997,4.601687836,5.7639313510000001,70.900000000000006,-8.2424379232505913,10.4,4.0117647058823529,10.460000000000001
"1983-2",8.5099999999999998,4.4786100959999997,5.7619278740000004,72.200000000000003,-6.9424379232505942,10.4,4.0117647058823529,10.720000000000001
"1983-3",8.7699999999999996,4.3638501209999996,5.4658629550000004,71.700000000000003,-7.4424379232505942,10.300000000000001,3.9117647058823533,10.51
"1983-4",8.8000000000000007,4.7682664910000003,5.3777354260000001,72.299999999999997,-6.8424379232505999,10.199999999999999,3.8117647058823518,10.4
"1983-5",8.6300000000000008,4.4646090960000002,4.982900538,73.099999999999994,-6.0424379232506027,10.1,3.7117647058823522,10.380000000000001
"1983-6",8.9800000000000004,4.1181719010000002,4.9530122480000003,73.599999999999994,-5.5424379232506027,10.1,3.7117647058823522,10.85
"1983-7",9.3699999999999992,4.0906287739999998,4.9809617560000001,74,-5.142437923250597,9.4000000000000004,3.0117647058823529,11.380000000000001
"1983-8",9.5600000000000005,4.2101364270000001,5.0362054819999997,75.099999999999994,-4.0424379232506027,9.5,3.1117647058823525,11.85
"1983-9",9.4499999999999993,4.2812493370000002,5.068874439,75.900000000000006,-3.2424379232505913,9.1999999999999993,2.8117647058823518,11.65
"1983-10",9.4800000000000004,3.8933103290000002,4.6175366310000001,77,-2.142437923250597,8.8000000000000007,2.4117647058823533,11.539999999999999
"1983-11",9.3399999999999999,3.7303115440000001,4.4749380219999999,77.599999999999994,-1.5424379232506027,8.5,2.1117647058823525,11.69
"1983-12",9.4700000000000006,3.6254815050000002,4.2209241840000002,77.799999999999997,-1.3424379232505999,8.3000000000000007,1.9117647058823533,11.83
"1984-1",9.5600000000000005,3.5652441540000002,3.839228479,78.099999999999994,-1.0424379232506027,8,1.6117647058823525,11.67
"1984-2",9.5899999999999999,4.0594796620000002,4.0852165229999997,79.599999999999994,0.45756207674939731,7.7999999999999998,1.4117647058823524,11.84
"1984-3",9.9100000000000001,4.2513952589999997,4.3279619120000001,79.799999999999997,0.65756207674940015,7.7999999999999998,1.4117647058823524,12.32
"1984-4",10.289999999999999,4.1756276899999998,4.4975722009999997,80.099999999999994,0.95756207674939731,7.7000000000000002,1.3117647058823527,12.630000000000001
"1984-5",10.32,4.0174456669999996,4.5830198539999998,80.5,1.357562076749403,7.4000000000000004,1.0117647058823529,13.41
"1984-6",11.06,3.8254247110000001,4.3516058050000002,80.700000000000003,1.5575620767494058,7.2000000000000002,0.81176470588235272,13.56
"1984-7",11.23,3.6185318789999998,4.1098741260000002,80.900000000000006,1.7575620767494087,7.5,1.1117647058823525,13.359999999999999
"1984-8",11.640000000000001,3.4997838080000001,3.9256354689999999,81,1.857562076749403,7.5,1.1117647058823525,12.720000000000001
"1984-9",11.300000000000001,3.2883011400000002,3.6761775779999999,80.900000000000006,1.7575620767494087,7.2999999999999998,0.91176470588235237,12.52
"1984-10",9.9900000000000002,3.3515695000000001,3.7240897930000001,80.5,1.357562076749403,7.4000000000000004,1.0117647058823529,12.16
"1984-11",9.4299999999999997,3.352310304,3.7046728600000001,80.200000000000003,1.0575620767494058,7.2000000000000002,0.81176470588235272,11.57
"1984-12",8.3800000000000008,3.5816121160000001,4.0265513569999998,80.299999999999997,1.1575620767494001,7.2999999999999998,0.91176470588235237,11.5
"1985-1",8.3499999999999996,3.6508539980000001,4.2592308890000004,80.200000000000003,1.0575620767494058,7.2999999999999998,0.91176470588235237,11.380000000000001
"1985-2",8.5,3.4574215669999999,4.1673454210000003,79.900000000000006,0.75756207674940867,7.2000000000000002,0.81176470588235272,11.51
"1985-3",8.5800000000000001,3.53168463,4.1537173840000001,80,0.85756207674940299,7.2000000000000002,0.81176470588235272,11.859999999999999
"1985-4",8.2699999999999996,3.3056832950000001,3.8107760389999998,79.900000000000006,0.75756207674940867,7.2999999999999998,0.91176470588235237,11.43
"1985-5",7.9699999999999998,3.42742426,3.9364102729999999,79.5,0.35756207674940299,7.2000000000000002,0.81176470588235272,10.85
"1985-6",7.5300000000000002,3.5273664839999999,4.0417339219999997,79.400000000000006,0.25756207674940867,7.4000000000000004,1.0117647058823529,10.16
"1985-7",7.8799999999999999,3.4181711300000002,3.9072640949999999,79.299999999999997,0.15756207674940015,7.4000000000000004,1.0117647058823529,10.31
"1985-8",7.9000000000000004,3.4411613289999998,4.0640864160000003,78.599999999999994,-0.54243792325060269,7.0999999999999996,0.71176470588235219,10.33
"1985-9",7.9199999999999999,3.4680607220000002,4.1119709740000001,78.700000000000003,-0.44243792325059417,7.0999999999999996,0.71176470588235219,10.369999999999999
"1985-10",7.9900000000000002,3.3935356510000001,4.0402364070000001,78.900000000000006,-0.24243792325059133,7.0999999999999996,0.71176470588235219,10.24
"1985-11",8.0500000000000007,3.533760826,4.0612291029999996,78.5,-0.64243792325059701,7,0.61176470588235254,9.7799999999999994
"1985-12",8.2699999999999996,3.586581545,3.9382047199999999,78.599999999999994,-0.54243792325060269,7,0.61176470588235254,9.2599999999999998
"1986-1",8.1400000000000006,3.5534228520000002,3.9235173830000001,79.299999999999997,0.15756207674940015,6.7000000000000002,0.31176470588235272,9.1899999999999995
"1986-2",7.8600000000000003,3.080737359,3.6509466000000002,79.599999999999994,0.45756207674939731,7.2000000000000002,0.81176470588235272,8.6999999999999993
"1986-3",7.4800000000000004,2.456072722,3.5848505930000001,78.900000000000006,-0.24243792325059133,7.2000000000000002,0.81176470588235272,7.7800000000000002
